x,y
537329.05,6583408.21
537341.11,6583484.79
539998.14,6582640.2
539959.44,6582623.95
539971.6,6582695.96
539937.56,6582736.43
539877.24,6582526.43
539866.15,6582502.06
539954.78,6582669.27
539846,6582468.55
539917.79,6582627.29
539750.48,6582390.32
539724.81,6582378.37
539699.74,6582369.79
539837.55,6582523.11
539807,6582485
539578.01,6582305.49
539578.01,6582305.49
539529.33,6582273.47
539708.48,6582426.23
539492.94,6582250.58
539646.4,6582382.61
539447.37,6582245.15
539411.96,6582224.23
539533.56,6582328.8
539503.56,6582333.27
539454.15,6582313.5
539428.11,6582290.83
539319.53,6582202.46
539388.81,6582294.95
539301.03,6582195.66
539277.53,6582184.67
539253.38,6582173.95
539237.5,6582166.06
539303.43,6582233.83
539268.44,6582217.93
537645.98,6583788.76
537644.88,6583834.75
537675,6583817.35
537675.3,6583838.35
537617.2,6583786.18
537711.57,6583758.63
537675.05,6583725.13
537730.66,6583666.89
535317.8,6579758.29
535333.59,6579783.66
535379.44,6579777.97
535348.83,6579805.21
535401.31,6579809.3
540344.53,6582690.75
540312.74,6582687.88
540349.83,6582648.82
540345.77,6582620.06
540310.76,6582655.23
540300.93,6582616.43
540333.42,6582541.58
540306.25,6582576.29
540319.28,6582441.83
540304.49,6582544.67
540275,6582468
540246.03,6582195.81
540212.67,6582289.83
540205.36,6582245.17
540205.34,6582203.76
536889.61,6581976.16
539652.26,6582071.16
539631.05,6582075.44
539578.89,6582011.71
539626.61,6582099.49
539547.4,6582006.64
539617.7,6582133.15
539465.96,6581987.79
539609.2,6582067.87
539579.77,6582054.74
539549.1,6582047.14
539504.58,6582044.49
539468.17,6582066.95
539275.21,6581953.42
539452.85,6582029.02
539238.5,6581949.55
539434.39,6582022.61
539196.82,6581940.74
539252.15,6581998.56
539222.15,6581984.44
539188.01,6581984.58
539141.45,6582016.95
539476.36,6583354.84
539469.46,6583336.36
539491.74,6583326.65
539540.92,6583324.96
539569.62,6583313.8
539626.2,6583273.03
539662.31,6583268.4
539597.63,6583249.35
539676.64,6583203.8
539701.08,6583220.55
539807.69,6583121.19
539831.45,6583169
539853.1,6583070.74
539865.42,6583123.04
539910.8,6583107.37
539944.01,6583085.83
540030.42,6583015.6
538506.59,6581740.29
538488.92,6581713.47
538454.48,6581733.55
536854.5,6582510.64
536879.71,6582470.94
536824.54,6582451.18
536808.61,6582408.53
543412.13,6581249.45
543473.65,6581150.99
539690.8,6581849.75
539692.89,6581829.83
539609.43,6581822.86
539647.86,6581807.8
543447.93,6581118.06
538628.47,6583504.98
538557.99,6583505.56
538586.47,6583482.39
538540.53,6583478.69
538535.9,6583491.39
538504.45,6583433.51
538450.66,6583438.67
538482.96,6583422.43
538430.4,6583448.13
538382.44,6583430.16
538354.98,6583409.15
538352.51,6583422.63
538425.04,6583411.39
538328.03,6583423.38
538399.82,6583402.66
538309.48,6583402.08
538364.98,6583386.52
538345.19,6583382.29
538262.74,6583383.87
538256,6583406
538250,6583405
538297.12,6583371.4
538161.33,6583356.73
538137.08,6583355.66
538253.75,6583357.45
538229.67,6583349.92
